[2026-09-06 01:00:21] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:21.758Z"} 
[2026-09-06 01:00:28] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:28.512Z"} 
[2026-09-06 01:00:32] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:32.020Z"} 
[2026-09-06 01:00:36] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:36.403Z"} 
[2026-09-06 01:00:36] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:36.490Z"} 
[2026-09-06 01:00:36] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:36.506Z"} 
[2026-09-06 01:00:36] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:36.514Z"} 
[2026-09-06 01:00:36] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:36.525Z"} 
[2026-09-06 01:00:37] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:37.782Z"} 
[2026-09-06 01:00:37] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:37.873Z"} 
[2026-09-06 01:00:38] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:37.905Z"} 
[2026-09-06 01:00:38] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:37.909Z"} 
